tick,grazers,hunters,trees,grass_mean,shrub_mean,moisture_mean,fertility_mean,detritus_total,temperature,hunter_immigrants,grazer_starved,grazer_eaten,grazer_old_age,grazer_crowded,grazer_burnt,hunter_starved,hunter_eaten,hunter_old_age,hunter_crowded,hunter_burnt,patches_burning,total_burnt,grazer_energy_cost_mult_mean,grazer_energy_cost_mult_sd,grazer_flee_distance_mean,grazer_flee_distance_sd,grazer_repro_threshold_mean,grazer_repro_threshold_sd,hunter_energy_cost_mult_mean,hunter_energy_cost_mult_sd,hunter_flee_distance_mean,hunter_flee_distance_sd,hunter_repro_threshold_mean,hunter_repro_threshold_sd,rain_mm,runoff_mm,ponded_mm,soil_water_mm,drainage_mm,outflow_mm
56,312,20,12,0.3128,0.0197,163.0868,123.6230,692.4196,11.9912,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9998,0.0086,4.0006,0.0366,70.0008,0.5721,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,86.5649,0.0000,0.0000
57,312,20,12,0.3159,0.0197,163.0407,123.5614,702.8804,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998,0.0086,4.0006,0.0366,70.0008,0.5721,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,86.5404,0.0000,0.0000
58,312,20,12,0.3190,0.0197,162.9893,123.4929,714.3947,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9998,0.0086,4.0006,0.0366,70.0008,0.5721,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,86.5132,0.0000,0.0000
59,313,20,12,0.3221,0.0197,162.9371,123.4234,726.0753,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999,0.0088,4.0001,0.0376,70.0054,0.5770,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,86.4855,0.0000,0.0000
60,313,20,12,0.3257,0.0197,164.0905,123.3500,750.3689,11.9912,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9998,0.0089,3.9995,0.0388,70.0066,0.5774,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,1.9454,0.1902,0.0000,87.0977,0.0796,0.0955
61,315,20,12,0.3291,0.0197,164.0345,123.2754,765.1195,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0095,3.9997,0.0388,69.9981,0.5862,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,87.0679,0.0000,0.0000
62,315,20,12,0.3325,0.0197,163.9857,123.2103,778.0851,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0001,0.0095,3.9997,0.0388,69.9981,0.5862,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,87.0420,0.0000,0.0000
63,316,20,12,0.3359,0.0197,163.9415,123.1514,789.7114,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0095,3.9999,0.0391,70.0047,0.5969,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,87.0186,0.0000,0.0000
64,316,20,12,0.3388,0.0197,163.8979,123.0933,816.2516,11.9912,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0002,0.0096,4.0005,0.0404,69.9939,0.6268,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,86.9955,0.0000,0.0000
65,316,20,12,0.3417,0.0197,163.8556,123.0369,827.4448,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0096,4.0005,0.0404,69.9939,0.6268,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,86.9730,0.0000,0.0000
66,317,20,12,0.3446,0.0197,163.8062,122.9710,840.5992,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0004,0.0099,4.0002,0.0406,69.9849,0.6460,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,86.9468,0.0000,0.0000
67,320,20,12,0.3476,0.0197,163.7625,122.9128,852.1695,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0005,0.0101,4.0009,0.0434,69.9884,0.6452,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,86.9236,0.0000,0.0000
68,320,20,12,0.3505,0.0197,163.7139,122.8480,864.9412,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0005,0.0101,4.0009,0.0434,69.9884,0.6452,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,86.8978,0.0000,0.0000
69,320,20,12,0.3534,0.0197,163.6645,122.7821,877.8633,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0005,0.0101,4.0009,0.0434,69.9884,0.6452,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,86.8716,0.0000,0.0000
70,321,20,12,0.3568,0.0197,193.1315,122.6995,887.3246,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0006,0.0102,4.0009,0.0434,69.9820,0.6544,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,18.4085,2.1339,0.0000,102.5124,0.5723,0.9798
71,322,20,12,0.3601,0.0197,193.0785,122.6288,903.4057,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0005,0.0104,4.0005,0.0439,69.9898,0.6684,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,102.4842,0.0000,0.0000
72,323,20,12,0.3633,0.0196,193.0323,122.5673,917.5620,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0106,4.0008,0.0441,69.9808,0.6869,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,102.4597,0.0000,0.0000
73,326,20,12,0.3665,0.0196,192.9905,122.5115,930.2579,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0004,0.0107,4.0016,0.0452,69.9861,0.7035,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,102.4375,0.0000,0.0000
74,326,20,12,0.3692,0.0196,192.9493,122.4565,957.8419,11.9912,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0004,0.0107,4.0018,0.0453,69.9887,0.7051,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,102.4156,0.0000,0.0000
75,327,20,12,0.3720,0.0196,192.9092,122.4031,970.0687,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0004,0.0107,4.0018,0.0453,69.9868,0.7049,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,102.3944,0.0000,0.0000
76,330,20,12,0.3747,0.0196,192.8625,122.3408,984.4128,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0112,4.0031,0.0471,69.9835,0.7270,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,102.3696,0.0000,0.0000
77,332,20,12,0.3774,0.0196,192.8211,122.2856,997.0347,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0002,0.0116,4.0030,0.0488,69.9945,0.7385,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,102.3476,0.0000,0.0000
78,333,20,12,0.3801,0.0196,192.7751,122.2243,1010.9920,11.9912,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0003,0.0116,4.0028,0.0489,69.9984,0.7409,1.0000,0.0000,4.0000,0.0000,75.0000,0.0000,0.0000,0.0000,0.0000,102.3232,0.0000,0.0000
